eisced,eduyrs,hincfel,hinctnta,uemp12m,gincdif,pdwrk,trstplt,trstprt,trstun,stfdem,imueclt,imwbcnt,imbgeco,feethngr,brncntr,ppltrst,nwspol,netusoft,rlgdgr,aesfdrk,health,happy,gndr,agea,domicil,lrscale,is_populist_voter,cntry_BE,cntry_BG,cntry_CH,cntry_CY,cntry_ES,cntry_FI,cntry_FR,cntry_GB,cntry_GR,cntry_HR,cntry_HU,cntry_IE,cntry_IL,cntry_IS,cntry_IT,cntry_LV,cntry_NL,cntry_NO,cntry_PL,cntry_PT,cntry_RS,cntry_SE,cntry_SI,cntry_SK
5,14,1,7.313666666666666,6,2,1,5,7,5,8,5,6,7,1,1,4,105,4,7,1,2,8,1,54,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,3,6,6,2,1,3,2,5,9,4,4,6,1,1,8,30,5,4,2,2,8,1,50,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,2,6,6,1,1,3,2,6,6,3,4,4.697333333333334,1,1,6,15,5,5,3,2,6,2,33,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,2,2,6,1,0,2,2,2,6,1,0,2,1,1,0,60,1,0,1,3,9,1,73,4,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,2,4,1,2,1,4,6,6,7,0,0,1,1,2,3,30,5,0,2,3,8,1,55,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,2,6,1,0,9,9,9,8,6,5,5,1,1,8,90,5,1,2,2,9,2,64,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,14,1,3,6,2,0,8,7,6,8,10,5,8,1,1,8,60,4,8,1,2,9,2,76,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,14,1,6.559666666666666,6,1,1,5,5,3,8,6,5,6,1,1,8,10,5,5,2,1,9,1,57,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,13,1,10,6,2,0,2,2,5,7,2,3,2,2,1,9,80,3,8,1,1,8,1,69,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,16,1,7,6,1,1,2,2,1,5,5,2,3,1,1,6,40,5,0,2,1,10,2,57,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
